resources,parallelism,up_mean,up_median,up_stddev,up_min,up_max,up_p95,destroy_mean,destroy_median,destroy_stddev,destroy_min,destroy_max,destroy_p95,total_mean,total_median,total_stddev,total_min,total_max,total_p95
10,1,2.4158742124666674,2.3280828750000016,0.23792412019296527,2.1876566250000007,3.4411943329999986,2.729643291000002,1.5743741388333345,1.532115104000006,0.12595867616905027,1.399751791,1.835562375000002,1.8295835840000052,3.990248351300002,3.9124099585000067,0.3147902920187058,3.5874084160000006,5.270777917000004,4.417771457000001
10,2,1.9026106041666688,1.8841570415000035,0.15765870207876934,1.7235149169999886,2.4789937500000008,2.207712334000007,1.1418876736666674,1.1414501664999932,0.07034991471147069,0.9789326670000378,1.2639942920000067,1.2615660419999983,3.0444982778333363,3.0592231035000026,0.19245806482603028,2.7301720000000387,3.685944415999984,3.3514114170000084
10,4,1.6202192888333362,1.5733581665000145,0.11920882969616789,1.4681774169999926,1.8965026660000035,1.8745762500000183,0.8381290875333358,0.8342679790000034,0.05447619342616249,0.7431499580000036,0.9957826250000039,0.980756083000017,2.458348376366672,2.4180848549999894,0.1489893233470622,2.2456059579999987,2.727114541999981,2.69327183300004
10,8,1.6428963597666686,1.5480219165000335,0.20703574149796905,1.4254902079999852,2.1474944159999723,2.047048000000018,0.8989848958666546,0.8769824579999295,0.10727521325592349,0.8070827500000064,1.2816214590000072,1.2603567920000387,2.541881255633323,2.4677708329999746,0.2293822497687064,2.2685895419999724,2.9878496239999777,2.927552207999952
10,16,1.4089600930333404,1.3662970830000063,0.11435088814435748,1.3020215000000235,1.907245208000063,1.5140984579999213,0.8912748957333292,0.8641900000000078,0.09867586172188436,0.8142614590000221,1.2681392910000113,1.208761250000066,2.3002349887666695,2.2224696465000306,0.192310280585186,2.123442833000013,3.116006458000129,2.709061915999996
25,1,4.733292831933329,4.687967583499983,0.15724393318901395,4.557163665999951,5.195327417000044,5.170220041999983,3.2946367708333315,3.2537347294999677,0.18871781757091516,3.0467945000000327,3.7261865419999367,3.674655707999932,8.02792960276666,7.955027249999944,0.33231507822801987,7.603958165999984,8.845083542000111,8.685369500999968
25,2,3.4263023290999928,3.414556166500006,0.11472138137962687,3.2381618330000492,3.7318140419999963,3.683481749999828,2.2468754208333395,2.250438832999862,0.13787368639184916,1.9554675829999724,2.5553845409999667,2.5315848330001245,5.673177749933332,5.611613104000071,0.19683412428802252,5.363136083999734,6.051639290999901,6.051565831999824
25,4,2.855282734699972,2.8240701460000537,0.19491408520039072,2.516452124999887,3.31512083299981,3.241731874999914,1.4317718722666617,1.4115006460000359,0.1321398998280813,1.230807249999998,1.8733630839999478,1.7195687910000288,4.287054606966634,4.260823125000002,0.2657390224333157,3.747259374999885,4.961300665999943,4.7369195409999065
25,8,2.4992334041666786,2.4686384584999814,0.18764294275619736,2.260856042000114,2.986257499999965,2.8049270410001554,1.2983114985333184,1.2741320205000193,0.09153464553180041,1.157576957999936,1.5576524589998826,1.4687327080000614,3.797544902699997,3.7868756249999933,0.2272614661817341,3.4547399999999016,4.304711083000029,4.196924541000044
25,16,3.399277773666639,2.348776021000049,5.453063211102723,2.2061260419998234,32.25708458400004,2.8196982080000907,1.3948959347333205,1.36663485400004,0.11240074183009023,1.2396937089999938,1.7777083330001915,1.6591154170000664,4.794173708399959,3.735834000000068,5.5266254824144045,3.525387791999947,34.03479291700023,4.342268501000035
